loan_id,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,origination_month,term_months
LOAN_00000023,232698,0.0503016778761795,700-739,70-80%,20-30%,MI,Refinance,Primary,SFR,Servicer_D,2022-10,360
LOAN_00000024,176930,0.07055157254834288,<620,60-70%,36-43%,NC,Cash-out Refinance,Primary,SFR,Servicer_A,2022-05,360
LOAN_00000025,160336,0.04620224502323376,740-779,<60%,20-30%,GA,Cash-out Refinance,Primary,SFR,Servicer_E,2021-12,240
LOAN_00000026,413963,0.03826277127627998,780+,90-100%,<20%,NJ,Cash-out Refinance,Primary,SFR,Servicer_B,2021-03,360
LOAN_00000027,268790,0.06454859470463026,<620,70-80%,20-30%,AZ,Refinance,Primary,SFR,Servicer_B,2022-06,360
LOAN_00000028,304425,0.03795527372135333,780+,80-90%,20-30%,MD,Refinance,Primary,SFR,Servicer_C,2021-08,360
LOAN_00000029,391648,0.03186468306449724,780+,90-100%,43-50%,IN,Cash-out Refinance,Primary,SFR,Servicer_E,2021-04,360
LOAN_00000030,117161,0.06589921227987959,<620,<60%,20-30%,IL,Purchase,Second Home,SFR,Servicer_E,2021-05,360
LOAN_00000031,564323,0.05690466700674986,620-659,>100%,>50%,WI,Purchase,Primary,Condo,Servicer_A,2020-09,360
LOAN_00000032,249060,0.06067263552842531,620-659,70-80%,30-36%,MI,Purchase,Primary,SFR,Servicer_E,2020-04,360
LOAN_00000033,387008,0.04969086910264454,700-739,90-100%,20-30%,MI,Refinance,Primary,SFR,Servicer_D,2021-08,180
LOAN_00000034,404479,0.03838712642069177,780+,90-100%,30-36%,CA,Refinance,Primary,SFR,Servicer_E,2022-08,360
LOAN_00000035,588538,0.04077055343658799,740-779,>100%,20-30%,AZ,Cash-out Refinance,Primary,2-4 Unit,Servicer_E,2020-03,360
LOAN_00000036,281410,0.051733733206824596,700-739,70-80%,43-50%,MO,Purchase,Primary,SFR,Servicer_C,2022-07,360
LOAN_00000037,102557,0.0397311657049835,780+,<60%,<20%,PA,Cash-out Refinance,Primary,SFR,Servicer_A,2022-06,360
LOAN_00000038,305151,0.05868463488454784,620-659,80-90%,43-50%,MO,Refinance,Primary,SFR,Servicer_A,2020-10,180
LOAN_00000039,327863,0.049450504743586976,700-739,80-90%,<20%,TX,Cash-out Refinance,Primary,Condo,Servicer_D,2021-11,360
LOAN_00000040,176816,0.05722043256838367,620-659,60-70%,20-30%,WI,Purchase,Primary,2-4 Unit,Servicer_A,2020-06,360
LOAN_00000041,319254,0.05686177753871717,620-659,80-90%,<20%,PA,Refinance,Primary,SFR,Servicer_D,2022-04,360
LOAN_00000042,247580,0.05964159465309432,620-659,70-80%,36-43%,MI,Refinance,Investment,Manufactured,Servicer_A,2022-02,360
LOAN_00000043,151542,0.06099379032746798,620-659,<60%,30-36%,CA,Refinance,Primary,SFR,Servicer_E,2021-01,240
LOAN_00000044,414879,0.05087319291064906,700-739,90-100%,>50%,MO,Purchase,Primary,Condo,Servicer_B,2020-03,360
LOAN_00000045,223717,0.057207631199605966,620-659,60-70%,30-36%,NJ,Purchase,Primary,SFR,Servicer_A,2022-11,360
LOAN_00000046,242028,0.05783209754104209,620-659,70-80%,<20%,WI,Purchase,Second Home,2-4 Unit,Servicer_B,2021-05,360
LOAN_00000047,235322,0.025853316290879617,780+,70-80%,43-50%,GA,Purchase,Primary,2-4 Unit,Servicer_E,2022-09,240
LOAN_00000048,550036,0.06275830895031388,620-659,90-100%,36-43%,TX,Refinance,Investment,Condo,Servicer_C,2022-01,360
LOAN_00000049,290553,0.05679930635464302,620-659,80-90%,43-50%,AZ,Refinance,Primary,SFR,Servicer_E,2022-05,360
LOAN_00000050,308522,0.06176858638292285,620-659,80-90%,30-36%,NY,Refinance,Primary,SFR,Servicer_B,2022-04,360
LOAN_00000051,237918,0.03955787685463285,780+,70-80%,36-43%,WA,Purchase,Primary,SFR,Servicer_D,2020-08,360
LOAN_00000052,373784,0.05121072189805128,700-739,80-90%,20-30%,CA,Purchase,Primary,SFR,Servicer_A,2021-02,360
LOAN_00000053,582252,0.04190164652121303,740-779,>100%,>50%,NY,Refinance,Primary,Condo,Servicer_C,2021-05,360
LOAN_00000054,410007,0.0639352165145545,<620,90-100%,20-30%,WA,Refinance,Investment,SFR,Servicer_B,2021-06,360
LOAN_00000055,418082,0.03813860149517807,780+,90-100%,43-50%,AZ,Refinance,Primary,SFR,Servicer_D,2020-02,360
LOAN_00000056,401561,0.04385614261693215,740-779,90-100%,20-30%,NY,Refinance,Primary,SFR,Servicer_D,2021-08,180
LOAN_00000057,148728,0.06141176953926378,620-659,<60%,43-50%,NY,Cash-out Refinance,Primary,Condo,Servicer_A,2020-06,360
LOAN_00000058,191365,0.047447505612673024,700-739,60-70%,43-50%,MO,Cash-out Refinance,Primary,SFR,Servicer_D,2022-03,360
LOAN_00000059,267668,0.04385931211853129,740-779,70-80%,43-50%,CA,Refinance,Primary,SFR,Servicer_D,2022-01,180
LOAN_00000060,206296,0.0658806331544822,<620,60-70%,30-36%,IL,Purchase,Primary,SFR,Servicer_B,2022-10,360
LOAN_00000061,174160,0.06637254107910241,<620,60-70%,30-36%,WI,Purchase,Primary,SFR,Servicer_A,2022-03,360
LOAN_00000062,116298,0.06366485431049199,<620,<60%,43-50%,NJ,Refinance,Primary,SFR,Servicer_C,2021-02,360
LOAN_00000063,151256,0.06518451608728353,<620,<60%,36-43%,CA,Purchase,Investment,SFR,Servicer_B,2022-11,360
LOAN_00000064,260859,0.052221048652743324,660-699,70-80%,36-43%,MO,Purchase,Primary,SFR,Servicer_D,2021-03,360
LOAN_00000065,286440,0.05254488430436061,660-699,70-80%,20-30%,OH,Purchase,Primary,SFR,Servicer_A,2020-12,360
LOAN_00000066,199480,0.04722302465759677,700-739,60-70%,30-36%,MA,Cash-out Refinance,Investment,Manufactured,Servicer_B,2022-09,180
LOAN_00000067,308495,0.05701275001259173,620-659,80-90%,30-36%,WA,Purchase,Primary,SFR,Servicer_D,2021-02,180
LOAN_00000068,238728,0.04866522007208982,700-739,70-80%,36-43%,GA,Refinance,Primary,SFR,Servicer_E,2020-03,360
LOAN_00000069,511594,0.04980320552887627,700-739,90-100%,20-30%,GA,Cash-out Refinance,Second Home,2-4 Unit,Servicer_C,2021-05,360
LOAN_00000070,273535,0.0621988052077948,620-659,70-80%,30-36%,VA,Refinance,Primary,2-4 Unit,Servicer_A,2022-05,180
LOAN_00000071,420065,0.06921447094617256,<620,90-100%,43-50%,GA,Purchase,Primary,SFR,Servicer_D,2020-07,360
LOAN_00000072,328274,0.05977912305124114,620-659,80-90%,30-36%,NY,Cash-out Refinance,Primary,SFR,Servicer_A,2021-05,360
LOAN_00000073,147114,0.07653179038291082,<620,<60%,43-50%,MA,Refinance,Primary,SFR,Servicer_A,2020-05,360
LOAN_00000074,283415,0.04653381313560702,740-779,70-80%,20-30%,AZ,Purchase,Primary,SFR,Servicer_D,2022-01,360
LOAN_00000075,159881,0.032944304329488895,780+,<60%,30-36%,WA,Refinance,Primary,SFR,Servicer_B,2021-06,360
LOAN_00000076,280952,0.06357553467507465,<620,70-80%,30-36%,MA,Purchase,Primary,SFR,Servicer_A,2020-12,360
LOAN_00000077,204318,0.04573799736823922,740-779,60-70%,30-36%,NJ,Refinance,Primary,SFR,Servicer_C,2020-09,360
LOAN_00000078,358965,0.051715693098695635,700-739,80-90%,36-43%,MD,Cash-out Refinance,Primary,SFR,Servicer_B,2021-09,180
LOAN_00000079,151573,0.03376244187854652,780+,<60%,<20%,MO,Refinance,Primary,2-4 Unit,Servicer_D,2022-01,360
LOAN_00000080,298746,0.04420947703185008,740-779,80-90%,30-36%,WI,Cash-out Refinance,Primary,SFR,Servicer_E,2022-10,180
LOAN_00000081,394828,0.03697327100104916,780+,90-100%,<20%,FL,Purchase,Primary,Manufactured,Servicer_A,2021-04,360
LOAN_00000082,466866,0.04978836083895636,700-739,90-100%,36-43%,FL,Cash-out Refinance,Primary,SFR,Servicer_D,2020-06,180
LOAN_00000083,202382,0.0502653820734046,700-739,60-70%,43-50%,MI,Refinance,Investment,Manufactured,Servicer_D,2022-06,240
LOAN_00000084,299202,0.056079524938578505,660-699,80-90%,<20%,AZ,Purchase,Second Home,Condo,Servicer_E,2021-11,180
LOAN_00000085,325160,0.0698766755722621,<620,80-90%,30-36%,IL,Cash-out Refinance,Primary,SFR,Servicer_B,2022-02,360
LOAN_00000086,642783,0.06312287517877382,620-659,>100%,30-36%,FL,Cash-out Refinance,Primary,SFR,Servicer_A,2020-04,360
LOAN_00000087,141398,0.03553396436547423,780+,<60%,36-43%,CA,Purchase,Primary,SFR,Servicer_E,2020-12,240
LOAN_00000088,188047,0.06229618522735428,620-659,60-70%,<20%,VA,Refinance,Investment,Condo,Servicer_A,2022-04,360
LOAN_00000089,1205290,0.05634105636929752,660-699,>100%,30-36%,WI,Purchase,Primary,SFR,Servicer_C,2022-06,360
LOAN_00000090,258706,0.05382608281556683,660-699,70-80%,43-50%,MI,Purchase,Primary,Condo,Servicer_D,2021-04,360
LOAN_00000091,115208,0.05472760564075329,660-699,<60%,30-36%,MA,Purchase,Primary,2-4 Unit,Servicer_A,2022-05,360
LOAN_00000092,221621,0.05745462913703506,620-659,60-70%,36-43%,TX,Purchase,Second Home,SFR,Servicer_B,2022-07,360
LOAN_00000093,74277,0.04669735850783722,740-779,<60%,30-36%,IL,Purchase,Primary,SFR,Servicer_A,2021-02,180
LOAN_00000094,334522,0.05281178970970431,660-699,80-90%,>50%,AZ,Purchase,Primary,2-4 Unit,Servicer_E,2022-09,360
LOAN_00000095,444583,0.06920726948670201,<620,90-100%,<20%,NC,Cash-out Refinance,Investment,Condo,Servicer_B,2020-11,360
LOAN_00000096,187994,0.0465531305868936,740-779,60-70%,<20%,CA,Purchase,Primary,SFR,Servicer_D,2020-09,180
LOAN_00000097,234365,0.04264134428589886,740-779,70-80%,30-36%,IL,Cash-out Refinance,Primary,SFR,Servicer_B,2022-01,360
LOAN_00000098,470629,0.05425951182551379,660-699,90-100%,30-36%,TN,Purchase,Primary,SFR,Servicer_D,2021-11,360
LOAN_00000099,123610,0.04143320251892383,740-779,<60%,36-43%,AZ,Purchase,Primary,SFR,Servicer_D,2020-06,360
LOAN_00000100,153156,0.034326602542547935,780+,<60%,20-30%,IN,Refinance,Primary,SFR,Servicer_A,2022-06,360
LOAN_00000101,264591,0.0508663938751022,700-739,70-80%,20-30%,GA,Purchase,Primary,Manufactured,Servicer_D,2020-08,360
LOAN_00000102,203583,0.07238346261476708,<620,60-70%,36-43%,MD,Purchase,Primary,SFR,Servicer_D,2022-05,360
LOAN_00000103,256034,0.05453675084947728,660-699,70-80%,20-30%,MD,Cash-out Refinance,Primary,SFR,Servicer_A,2020-01,360
LOAN_00000104,157648,0.05714292513337856,620-659,<60%,36-43%,GA,Purchase,Primary,SFR,Servicer_B,2022-05,180
LOAN_00000105,330101,0.029438219702186495,780+,80-90%,36-43%,IL,Purchase,Primary,2-4 Unit,Servicer_E,2022-05,180
LOAN_00000106,275235,0.06025750590929137,620-659,70-80%,<20%,WI,Refinance,Primary,SFR,Servicer_C,2022-05,360
LOAN_00000107,390270,0.0561203903357175,660-699,90-100%,36-43%,OH,Purchase,Second Home,SFR,Servicer_A,2021-12,240
LOAN_00000108,327813,0.04702102206352775,740-779,80-90%,43-50%,MI,Refinance,Primary,SFR,Servicer_D,2021-05,360
LOAN_00000109,328846,0.05716060565682849,620-659,80-90%,43-50%,MD,Purchase,Primary,SFR,Servicer_D,2022-02,360
LOAN_00000110,143896,0.05704145940589552,620-659,<60%,<20%,PA,Purchase,Primary,SFR,Servicer_C,2020-10,360
LOAN_00000111,379380,0.04228614485970478,740-779,80-90%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,2022-05,360
LOAN_00000112,251341,0.05898224472135891,620-659,70-80%,>50%,NY,Purchase,Primary,SFR,Servicer_A,2021-09,360
LOAN_00000113,272856,0.06936562507032586,<620,70-80%,36-43%,PA,Refinance,Primary,SFR,Servicer_B,2021-05,360
LOAN_00000114,500885,0.0522647022943178,660-699,90-100%,20-30%,GA,Cash-out Refinance,Primary,SFR,Servicer_C,2021-07,360
LOAN_00000115,206960,0.044588869570754704,740-779,60-70%,20-30%,MI,Refinance,Primary,Condo,Servicer_D,2021-09,360
LOAN_00000116,582795,0.05286903916237926,660-699,>100%,36-43%,IL,Purchase,Second Home,SFR,Servicer_D,2020-02,240
LOAN_00000117,610624,0.06525535834077315,<620,>100%,43-50%,MO,Cash-out Refinance,Primary,Manufactured,Servicer_B,2020-06,360
LOAN_00000118,432091,0.04028417392843273,740-779,90-100%,>50%,AZ,Refinance,Primary,SFR,Servicer_D,2020-09,360
LOAN_00000119,181623,0.06194269910541017,620-659,60-70%,>50%,AZ,Purchase,Primary,SFR,Servicer_A,2020-05,360
LOAN_00000120,99394,0.04686382649775423,740-779,<60%,20-30%,MA,Purchase,Primary,SFR,Servicer_A,2021-04,360
LOAN_00000121,508600,0.05790475697655685,620-659,90-100%,36-43%,WA,Purchase,Second Home,SFR,Servicer_D,2022-01,360
LOAN_00000122,313543,0.04822802469945324,700-739,80-90%,<20%,WA,Purchase,Primary,SFR,Servicer_E,2021-12,240
LOAN_00000123,204311,0.04819579653902127,700-739,60-70%,<20%,AZ,Purchase,Primary,SFR,Servicer_D,2021-05,360
LOAN_00000124,533268,0.07327713899482058,<620,90-100%,<20%,MA,Purchase,Primary,Manufactured,Servicer_C,2022-07,360
LOAN_00000125,192763,0.0380909609135981,780+,60-70%,>50%,MD,Cash-out Refinance,Investment,SFR,Servicer_E,2021-09,360
LOAN_00000126,239886,0.06082439413054653,620-659,70-80%,20-30%,NY,Purchase,Primary,SFR,Servicer_B,2020-03,360
LOAN_00000127,385557,0.07577589293105544,<620,90-100%,30-36%,NJ,Purchase,Second Home,SFR,Servicer_D,2022-04,360
LOAN_00000128,169939,0.06322626311767388,620-659,<60%,30-36%,NY,Cash-out Refinance,Primary,SFR,Servicer_D,2021-09,360
LOAN_00000129,280761,0.039026835771529815,780+,70-80%,20-30%,NY,Refinance,Second Home,SFR,Servicer_A,2021-11,240
LOAN_00000130,511226,0.039621033893015134,780+,90-100%,30-36%,MD,Purchase,Second Home,Condo,Servicer_E,2021-09,180
LOAN_00000131,329573,0.04598049548024318,740-779,80-90%,<20%,MI,Purchase,Primary,Manufactured,Servicer_D,2021-08,360
LOAN_00000132,553331,0.056894894938238495,620-659,90-100%,30-36%,MA,Refinance,Investment,2-4 Unit,Servicer_B,2020-04,360
LOAN_00000133,522719,0.05771131232906863,620-659,90-100%,30-36%,MA,Purchase,Investment,SFR,Servicer_E,2021-09,360
LOAN_00000134,297708,0.03973964134840369,780+,80-90%,43-50%,CA,Refinance,Investment,SFR,Servicer_B,2022-05,360
LOAN_00000135,92192,0.0445269104986364,740-779,<60%,36-43%,MI,Cash-out Refinance,Primary,SFR,Servicer_A,2020-11,360
LOAN_00000136,170606,0.045262210156239754,740-779,<60%,43-50%,NY,Refinance,Primary,SFR,Servicer_D,2021-10,360
LOAN_00000137,434376,0.052831038302621286,660-699,90-100%,30-36%,OH,Cash-out Refinance,Primary,SFR,Servicer_A,2020-02,240
LOAN_00000138,136608,0.07881634548749289,<620,<60%,<20%,NY,Refinance,Primary,SFR,Servicer_C,2021-01,360
LOAN_00000139,251866,0.043801755212518625,740-779,70-80%,30-36%,AZ,Refinance,Primary,SFR,Servicer_D,2021-04,240
LOAN_00000140,351245,0.04327650600237054,740-779,80-90%,>50%,FL,Purchase,Primary,Condo,Servicer_A,2022-12,360
LOAN_00000141,618334,0.04140231645827387,740-779,>100%,20-30%,MI,Purchase,Investment,Condo,Servicer_D,2020-08,360
LOAN_00000142,222457,0.06262653485490678,620-659,60-70%,20-30%,OH,Purchase,Primary,2-4 Unit,Servicer_C,2020-10,360
LOAN_00000143,214970,0.054503900843738774,660-699,60-70%,>50%,WI,Refinance,Primary,SFR,Servicer_B,2021-03,360
LOAN_00000144,288883,0.0442452814219605,740-779,70-80%,>50%,TN,Purchase,Primary,2-4 Unit,Servicer_A,2022-12,360
LOAN_00000145,353435,0.050646452994660016,700-739,80-90%,<20%,GA,Refinance,Primary,SFR,Servicer_D,2022-07,360
LOAN_00000146,274546,0.045501876388507584,740-779,70-80%,43-50%,PA,Purchase,Primary,SFR,Servicer_A,2020-02,360
LOAN_00000147,501136,0.05855069537427095,620-659,90-100%,30-36%,MA,Refinance,Primary,SFR,Servicer_A,2020-09,360
LOAN_00000148,198874,0.08721251928155603,<620,60-70%,30-36%,WA,Purchase,Primary,SFR,Servicer_B,2022-06,360
LOAN_00000149,314922,0.06161037286830684,620-659,80-90%,30-36%,VA,Cash-out Refinance,Second Home,SFR,Servicer_C,2020-03,360
LOAN_00000150,370499,0.05388413781871164,660-699,80-90%,>50%,TX,Purchase,Primary,Condo,Servicer_E,2022-07,360
LOAN_00000151,242773,0.04702029415014457,740-779,70-80%,20-30%,TX,Refinance,Primary,SFR,Servicer_D,2020-11,360
LOAN_00000152,451285,0.03887919901738181,780+,90-100%,43-50%,WA,Refinance,Primary,2-4 Unit,Servicer_D,2022-10,360
LOAN_00000153,319489,0.06380427677683642,<620,80-90%,<20%,MI,Purchase,Primary,SFR,Servicer_A,2020-11,360
LOAN_00000154,439952,0.06315225014039584,620-659,90-100%,36-43%,IN,Cash-out Refinance,Primary,Condo,Servicer_D,2021-04,360
LOAN_00000155,326783,0.049406788039710325,700-739,80-90%,36-43%,CA,Cash-out Refinance,Second Home,2-4 Unit,Servicer_B,2021-12,360
LOAN_00000156,357969,0.06956000779531142,<620,80-90%,43-50%,NY,Refinance,Primary,SFR,Servicer_C,2020-05,360
LOAN_00000157,216166,0.05525328326662102,660-699,60-70%,>50%,TN,Cash-out Refinance,Primary,2-4 Unit,Servicer_D,2021-09,360
LOAN_00000158,216341,0.06429712882474162,<620,60-70%,43-50%,WI,Purchase,Primary,SFR,Servicer_A,2021-07,180
LOAN_00000159,546996,0.058554364024396136,620-659,90-100%,36-43%,MA,Cash-out Refinance,Primary,SFR,Servicer_B,2022-05,240
LOAN_00000160,407483,0.05287436944146834,660-699,90-100%,20-30%,CA,Cash-out Refinance,Primary,SFR,Servicer_B,2022-12,360
LOAN_00000161,177818,0.04354138466431016,740-779,60-70%,>50%,TX,Refinance,Primary,SFR,Servicer_E,2021-12,360
LOAN_00000162,324626,0.05325356089164794,660-699,80-90%,30-36%,MO,Cash-out Refinance,Primary,SFR,Servicer_E,2021-03,360
LOAN_00000163,90500,0.06510460802673816,<620,<60%,30-36%,MI,Refinance,Primary,SFR,Servicer_E,2021-03,240
LOAN_00000164,222577,0.048902378657206876,700-739,60-70%,30-36%,MI,Refinance,Primary,SFR,Servicer_C,2021-04,360
LOAN_00000165,479507,0.06027689674723814,620-659,90-100%,30-36%,WI,Refinance,Primary,SFR,Servicer_D,2022-06,360
LOAN_00000166,278570,0.04200716941571196,740-779,70-80%,36-43%,IL,Purchase,Primary,Manufactured,Servicer_D,2020-12,360
LOAN_00000167,314568,0.0643607000335643,<620,80-90%,20-30%,PA,Refinance,Primary,2-4 Unit,Servicer_D,2020-07,180
LOAN_00000168,65631,0.05875529603787954,620-659,<60%,20-30%,AZ,Purchase,Primary,SFR,Servicer_D,2021-01,360
LOAN_00000169,243743,0.04057467089396199,740-779,70-80%,>50%,MD,Refinance,Second Home,SFR,Servicer_E,2020-01,360
LOAN_00000170,351208,0.05231182571774065,660-699,80-90%,>50%,GA,Refinance,Primary,SFR,Servicer_B,2020-04,360
LOAN_00000171,374237,0.06617729091182044,<620,80-90%,30-36%,NY,Purchase,Primary,SFR,Servicer_D,2020-04,360
LOAN_00000172,479825,0.03989160951216131,740-779,90-100%,>50%,TX,Purchase,Primary,SFR,Servicer_D,2022-04,360
LOAN_00000173,266964,0.042148597136500786,740-779,70-80%,30-36%,CA,Purchase,Primary,Condo,Servicer_D,2022-03,360
LOAN_00000174,272984,0.05416603654256208,660-699,70-80%,30-36%,GA,Refinance,Second Home,SFR,Servicer_E,2022-02,360
LOAN_00000175,152350,0.08059996876518633,<620,<60%,>50%,NJ,Purchase,Primary,SFR,Servicer_A,2021-05,360
LOAN_00000176,267731,0.04692906299152602,740-779,70-80%,36-43%,MI,Purchase,Second Home,SFR,Servicer_E,2022-02,360
LOAN_00000177,157820,0.06094328799502595,620-659,<60%,43-50%,IL,Purchase,Primary,2-4 Unit,Servicer_E,2020-06,360
LOAN_00000178,117720,0.058121624891216216,620-659,<60%,30-36%,AZ,Purchase,Primary,SFR,Servicer_E,2022-09,360
LOAN_00000179,172372,0.04792576119681347,700-739,60-70%,30-36%,MO,Purchase,Primary,SFR,Servicer_B,2021-07,360
LOAN_00000180,630546,0.0569336002214185,620-659,>100%,<20%,IL,Purchase,Primary,SFR,Servicer_C,2022-10,360
LOAN_00000181,259035,0.04962598405486054,700-739,70-80%,>50%,AZ,Refinance,Primary,SFR,Servicer_A,2020-06,360
LOAN_00000182,331021,0.05070634251860186,700-739,80-90%,20-30%,NJ,Refinance,Primary,SFR,Servicer_A,2021-06,240
LOAN_00000183,229406,0.0350647371667224,780+,70-80%,30-36%,AZ,Cash-out Refinance,Primary,SFR,Servicer_C,2022-02,360
LOAN_00000184,121142,0.05470676518160414,660-699,<60%,<20%,CA,Purchase,Investment,SFR,Servicer_E,2021-06,360
LOAN_00000185,473570,0.0657891220794706,<620,90-100%,36-43%,AZ,Purchase,Primary,SFR,Servicer_B,2021-05,360
LOAN_00000186,100097,0.055689109297356224,660-699,<60%,30-36%,MA,Purchase,Primary,Manufactured,Servicer_D,2020-06,240
LOAN_00000187,224718,0.06808609312986916,<620,60-70%,43-50%,AZ,Refinance,Investment,Condo,Servicer_A,2021-02,360
LOAN_00000188,288569,0.06196392935134021,620-659,70-80%,30-36%,IN,Purchase,Primary,2-4 Unit,Servicer_A,2020-09,360
LOAN_00000189,332782,0.05428550432403736,660-699,80-90%,<20%,MA,Purchase,Primary,SFR,Servicer_D,2020-11,360
LOAN_00000190,206233,0.047464893363918174,700-739,60-70%,<20%,WI,Refinance,Primary,2-4 Unit,Servicer_B,2022-01,360
LOAN_00000191,118304,0.049164835415663154,700-739,<60%,20-30%,AZ,Purchase,Primary,Condo,Servicer_A,2021-11,360
LOAN_00000192,198680,0.03735387431275454,780+,60-70%,36-43%,NC,Refinance,Investment,SFR,Servicer_E,2021-10,360
LOAN_00000193,203948,0.05179505331882009,700-739,60-70%,43-50%,IN,Refinance,Investment,SFR,Servicer_E,2021-02,360
LOAN_00000194,201481,0.056751985102769846,620-659,60-70%,20-30%,AZ,Cash-out Refinance,Primary,SFR,Servicer_A,2022-11,360
LOAN_00000195,481677,0.0755850531735908,<620,90-100%,30-36%,VA,Purchase,Investment,Condo,Servicer_E,2020-04,240
LOAN_00000196,161651,0.06133984387934652,620-659,<60%,20-30%,VA,Purchase,Primary,SFR,Servicer_A,2021-01,360
LOAN_00000197,344720,0.044621752238344276,740-779,80-90%,43-50%,GA,Refinance,Primary,SFR,Servicer_D,2020-05,180
LOAN_00000198,320984,0.037727580693774326,780+,80-90%,>50%,WA,Purchase,Primary,Condo,Servicer_D,2021-01,360
LOAN_00000199,479369,0.05252137495354513,660-699,90-100%,43-50%,MI,Purchase,Primary,Condo,Servicer_B,2022-11,360
LOAN_00000200,277460,0.064741173361933,<620,70-80%,<20%,FL,Purchase,Primary,SFR,Servicer_A,2021-02,360
LOAN_00000201,440455,0.05235260395966734,660-699,90-100%,30-36%,NC,Purchase,Primary,2-4 Unit,Servicer_C,2022-09,360
LOAN_00000202,272090,0.06150381010006715,620-659,70-80%,>50%,MD,Purchase,Investment,SFR,Servicer_E,2021-06,360
LOAN_00000203,368500,0.05282649460897374,660-699,80-90%,20-30%,OH,Refinance,Primary,Condo,Servicer_A,2022-02,360
LOAN_00000204,139878,0.06360400521658718,<620,<60%,36-43%,AZ,Cash-out Refinance,Second Home,SFR,Servicer_E,2021-05,360
LOAN_00000205,79289,0.03583290372753206,780+,<60%,>50%,NC,Purchase,Primary,SFR,Servicer_D,2020-10,360
LOAN_00000206,358173,0.07425018544175321,<620,80-90%,43-50%,PA,Refinance,Primary,SFR,Servicer_E,2022-04,360
LOAN_00000207,367909,0.04165019862131547,740-779,80-90%,36-43%,GA,Cash-out Refinance,Primary,Condo,Servicer_B,2022-11,240
LOAN_00000208,376152,0.06452478795675733,<620,80-90%,30-36%,WI,Purchase,Primary,SFR,Servicer_D,2020-10,240
LOAN_00000209,228098,0.051733792063972536,700-739,70-80%,>50%,FL,Refinance,Second Home,SFR,Servicer_C,2022-05,360
