loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type
LOAN_00000001,12,2023-03,2022-04,12,349,161518,159323.62,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-03-27,Primary,Complete,0,0,0,1,Current,0,none
LOAN_00000001,13,2023-04,2022-04,13,348,161518,159135.31,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-04-15,Primary,Complete,0,0,0,1,Current,0,none
LOAN_00000001,14,2023-05,2022-04,14,347,161518,158946.14,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-05-17,Primary,Complete,0,0,0,1,Current,0,none
LOAN_00000001,15,2023-06,2022-04,15,346,161518,158756.12,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-06-18,Primary,Complete,0,0,0,1,Current,0,none
LOAN_00000001,16,2023-07,2022-04,16,345,161518,158565.23,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-07-28,Servicer,Complete,0,0,0,1,Current,0,none
LOAN_00000001,17,2023-08,2022-04,17,344,161518,158373.47,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-08-04,Servicer,Missing,0,0,0,1,Current,0,none
LOAN_00000001,18,2023-09,2022-04,18,343,161518,158180.84,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-09-07,Primary,Incomplete,0,0,0,1,Current,0,none
LOAN_00000001,19,2023-10,2022-04,19,342,161518,157987.33,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-10-21,Primary,Complete,0,0,0,1,Current,0,none
LOAN_00000001,20,2023-11,2022-04,20,341,161518,157792.95,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-11-21,Primary,Complete,0,0,0,1,Current,0,none
LOAN_00000001,21,2023-12,2022-04,21,340,161518,157597.68,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-12-27,Primary,Complete,0,0,0,1,Prepaid,0,none
LOAN_00000001,22,2024-01,2022-04,22,339,161518,0.0,0.0545,660-699,<60%,20-30%,OH,Purchase,Primary,SFR,Servicer_E,Prepaid,0.0,0,1,0,NA,2024-01-15,Primary,Complete,0,0,0,0,Prepaid,0,none
LOAN_00000002,1,2021-12,2021-12,1,360,272417,272106.1,0.20088854351140314,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2021-12-18,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,2,2022-01,2021-12,2,359,272417,271793.83,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2022-01-18,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,3,2022-02,2021-12,3,358,272417,271480.18,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2022-02-06,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,4,2022-03,2021-12,4,357,272417,271165.16,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2022-03-09,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,5,2022-04,2021-12,5,356,272417,270848.75,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2022-04-28,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,6,2022-05,2021-12,6,355,272417,270530.95,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2022-05-16,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,7,2022-06,2021-12,7,354,272417,270211.75,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2022-06-19,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,8,2022-07,2021-12,8,353,272417,269891.15,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2022-07-27,Primary,Missing,0,0,0,0,Current,0,none
LOAN_00000002,9,2022-08,2021-12,9,352,272417,269569.14,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2022-08-13,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,10,2022-09,2021-12,10,351,272417,269245.71,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2022-09-26,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,11,2022-10,2021-12,11,350,272417,268920.86,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2022-10-27,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,12,2022-11,2021-12,12,349,272417,268594.58,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2022-11-22,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,13,2022-12,2021-12,13,348,272417,268266.87,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2022-12-16,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,14,2023-01,2021-12,14,347,272417,267937.72,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2023-01-28,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,15,2023-02,2021-12,15,346,272417,267607.12,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2023-02-09,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,16,2023-03,2021-12,16,345,272417,267275.06,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2023-03-26,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,17,2023-04,2021-12,17,344,272417,266941.55,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2023-04-12,Primary,Missing,0,0,0,0,Current,0,none
LOAN_00000002,18,2023-05,2021-12,18,343,272417,266606.56,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2023-05-28,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,19,2023-06,2021-12,19,342,272417,266270.11,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2023-06-21,Servicer,Missing,0,0,0,0,Current,0,none
LOAN_00000002,20,2023-07,2021-12,20,341,272417,265932.18,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2023-07-28,Primary,Incomplete,0,0,0,0,Current,0,none
LOAN_00000002,21,2023-08,2021-12,21,340,272417,265592.75,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2023-08-15,Servicer,Missing,0,0,0,0,Current,0,none
LOAN_00000002,22,2023-09,2021-12,22,339,272417,265251.84,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2023-09-25,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,23,2023-10,2021-12,23,338,272417,264909.43,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2023-10-02,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,24,2023-11,2021-12,24,337,272417,264565.51,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2023-11-06,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,25,2023-12,2021-12,25,336,272417,264220.08,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2023-12-26,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000002,26,2024-01,2021-12,26,335,272417,263873.13,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2024-01-27,Primary,Incomplete,0,0,0,0,Current,0,none
LOAN_00000002,27,2024-02,2021-12,27,334,272417,263524.66,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2024-02-06,Primary,Incomplete,0,0,0,0,Current,0,none
LOAN_00000002,28,2024-03,2021-12,28,333,272417,263174.65,0.0528,660-699,70-80%,30-36%,MO,Purchase,Primary,SFR,Servicer_A,Current,0.0,0,0,0,NA,2024-03-12,Primary,Missing,0,0,0,0,Current,0,none
LOAN_00000003,1,2021-04,2021-04,1,360,185627,185375.81,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-04-21,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,2,2021-05,2021-04,2,359,185627,,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-05-21,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,3,2021-06,2021-04,3,358,185627,184870.69,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-06-11,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,4,2021-07,2021-04,4,357,185627,184616.76,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-07-12,Primary,Incomplete,0,0,0,0,Current,0,none
LOAN_00000003,5,2021-08,2021-04,5,356,185627,184361.9,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-08-20,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,6,2021-09,2021-04,6,355,185627,184106.13,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-09-01,Servicer,Complete,0,0,0,0,Current,0,none
LOAN_00000003,7,2021-10,2021-04,7,354,185627,183849.42,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-10-02,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,8,2021-11,2021-04,8,353,185627,183591.79,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-11-28,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,9,2021-12,2021-04,9,352,185627,183333.22,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2021-12-26,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,10,2022-01,2021-04,10,351,185627,183073.71,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-01-02,Servicer,Complete,0,0,0,0,Current,0,none
LOAN_00000003,11,2022-02,2021-04,11,350,185627,182813.27,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-02-07,Primary,Incomplete,0,0,0,0,Current,0,none
LOAN_00000003,12,2022-03,2021-04,12,349,185627,182551.88,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-03-10,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,13,2022-04,2021-04,13,348,185627,182289.54,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-04-12,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,14,2022-05,2021-04,14,347,185627,182026.25,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-05-11,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,15,2022-06,2021-04,15,346,185627,181762.01,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-06-27,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,16,2022-07,2021-04,16,345,185627,181496.81,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-07-28,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,17,2022-08,2021-04,17,344,185627,181230.64,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-08-07,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,18,2022-09,2021-04,18,343,185627,180963.52,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-09-10,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,19,2022-10,2021-04,19,342,185627,180695.42,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-10-10,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,20,2022-11,2021-04,20,341,185627,180426.36,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-11-21,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,21,2022-12,2021-04,21,340,185627,180156.31,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2022-12-10,Primary,Incomplete,0,0,0,0,Current,0,none
LOAN_00000003,22,2023-01,2021-04,22,339,185627,179885.29,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-01-07,Primary,Missing,0,0,0,0,Current,0,none
LOAN_00000003,23,2023-02,2021-04,23,338,185627,179613.29,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-02-15,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,24,2023-03,2021-04,24,337,185627,179340.3,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-03-25,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,25,2023-04,2021-04,25,336,185627,179066.32,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-04-15,Primary,Incomplete,0,0,0,0,Current,0,none
LOAN_00000003,26,2023-05,2021-04,26,335,185627,178791.35,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-05-06,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,27,2023-06,2021-04,27,334,185627,178515.38,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-06-01,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000003,28,2023-07,2021-04,28,333,185627,178238.41,0.0435,740-779,60-70%,43-50%,NC,Purchase,Investment,SFR,Servicer_E,Current,0.0,0,0,0,NA,2023-07-22,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000004,1,2021-04,2021-04,1,360,258150,257935.81,0.0694,<620,70-80%,30-36%,PA,Purchase,Investment,SFR,Servicer_C,Current,0.0,0,0,0,NA,2021-04-02,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000004,2,2021-05,2021-04,2,359,258150,257720.38,0.0694,<620,70-80%,30-36%,PA,Purchase,Investment,SFR,Servicer_C,Current,0.0,0,0,0,NA,2021-05-03,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000004,3,2021-06,2021-04,3,358,258150,257503.71,,<620,70-80%,30-36%,PA,Purchase,Investment,SFR,Servicer_C,Current,0.0,0,0,0,NA,2021-06-17,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000004,4,2021-07,2021-04,4,357,258150,257285.78,0.0694,<620,70-80%,30-36%,PA,Purchase,Investment,SFR,Servicer_C,Current,0.0,0,0,0,NA,2021-07-04,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000004,5,2021-08,2021-04,5,356,258150,257066.6,,<620,70-80%,30-36%,PA,Purchase,Investment,SFR,Servicer_C,Current,0.0,0,0,0,NA,2021-08-12,Primary,Complete,0,0,0,0,Current,0,none
LOAN_00000004,6,2021-09,2021-04,6,355,258150,256846.14,0.0694,<620,70-80%,30-36%,PA,Purchase,Investment,SFR,Servicer_C,Current,0.0,0,0,0,NA,2021-09-01,Primary,Incomplete,0,0,0,0,Current,0,none
LOAN_00000004,7,2021-10,2021-04,7,354,258150,256624.41,0.0694,<620,70-80%,30-36%,PA,Purchase,Investment,SFR,Servicer_C,Current,0.0,0,0,0,NA,2021-10-02,Servicer,Complete,0,0,0,0,Current,0,none
LOAN_00000004,8,2021-11,2021-04,8,353,258150,256401.4,0.0694,<620,70-80%,30-36%,PA,Purchase,Investment,SFR,Servicer_C,Current,0.0,0,0,0,NA,2021-11-14,Primary,Complete,0,0,1,0,Current,1,data_quality
LOAN_00000004,9,2021-12,2021-04,9,352,258150,256177.1,0.0694,<620,70-80%,30-36%,PA,Purchase,Investment,SFR,Servicer_C,Current,0.0,0,0,0,NA,2021-12-15,Primary,Missing,0,0,1,0,Current,1,servicer_conflict
LOAN_00000004,10,2022-01,2021-04,10,351,258150,255951.51,0.0694,<620,70-80%,30-36%,PA,Purchase,Investment,SFR,Servicer_C,Current,0.0,0,0,0,NA,2022-01-08,Primary,Incomplete,0,1,1,0,Current,1,pattern_anomaly
