loan_id,reporting_month,servicer_current_balance,servicer_current_status,servicer_days_past_due,servicer_last_updated
LOAN_00003520,2022-07,263424.53,Current,0,2022-07-22
LOAN_00002844,2023-05,451377.69,Current,0,2023-05-10
LOAN_00003458,2024-02,0.0,Closed,0,2024-02-27
LOAN_00002175,2022-07,419866.82,Current,0,2022-07-12
LOAN_00004078,2021-05,189378.45,Current,0,2021-05-27
LOAN_00000518,2022-04,386810.25,Current,0,2022-04-24
LOAN_00003812,2023-08,258121.29,Current,0,2023-08-23
LOAN_00003683,2021-12,262627.96,60-89 DPD,63,2021-12-08
LOAN_00000986,2023-06,213970.22,Current,0,2023-06-14
LOAN_00004130,2020-09,455916.47,Current,0,2020-09-01
LOAN_00000855,2024-06,205671.49,Current,0,2024-06-14
LOAN_00001872,2023-07,210911.34,Current,0,2023-07-08
LOAN_00002523,2022-11,298710.14,Current,0,2022-11-14
LOAN_00001571,2022-04,269453.97,30-59 DPD,47,2022-04-22
LOAN_00002991,2022-05,225553.95,Current,0,2022-05-01
LOAN_00002388,2023-04,289836.93,Current,0,2023-04-11
LOAN_00000193,2021-11,201531.14,Current,0,2021-11-12
LOAN_00001158,2021-04,1215012.9436160577,30-59 DPD,37,2021-04-25
LOAN_00002119,2022-08,416539.49,Current,141,2022-08-01
LOAN_00003128,2021-08,154642.41,Current,0,2021-08-01
LOAN_00001760,2021-05,238028.95,Current,0,2021-05-24
LOAN_00003846,2022-08,1460386.44,Current,0,2022-08-06
LOAN_00002400,2021-07,441466.64,Current,0,2021-07-28
LOAN_00000996,2022-03,312097.13,Current,0,2022-03-07
LOAN_00001862,2024-10,519850.94,Current,0,2024-10-05
LOAN_00003881,2022-12,280163.58,Current,0,2022-12-21
LOAN_00002107,2021-04,257450.91,Current,0,2021-04-28
LOAN_00001561,2021-02,336651.13,Current,0,2021-02-25
LOAN_00000463,2021-06,286306.05,Current,0,2021-06-10
LOAN_00004856,2024-06,0.0,Defaulted,198,2024-06-11
LOAN_00002085,2023-11,190260.52,Current,0,2023-11-07
LOAN_00001205,2023-10,218835.67,Current,0,2023-10-13
LOAN_00003523,2021-07,361615.21,Current,0,2021-07-13
LOAN_00000099,2020-06,123436.4,Current,0,2020-06-27
LOAN_00003540,2024-03,408657.95,Current,0,2024-03-05
LOAN_00004598,2024-11,234143.88,Current,0,2024-11-18
LOAN_00001391,2023-07,257588.19,Current,0,2023-07-05
LOAN_00003692,2021-11,226620.66,Current,0,2021-11-02
LOAN_00004909,2022-03,276175.8,Current,0,2022-03-03
LOAN_00000444,2023-07,109408.88,Current,0,2023-07-13
LOAN_00002660,2021-10,201303.19,Current,0,2021-10-23
LOAN_00003588,2022-05,294867.67,Current,0,2022-05-01
LOAN_00001353,2022-12,240804.26,Current,0,2022-12-13
LOAN_00004127,2020-04,181246.6,Current,0,2020-04-03
LOAN_00003545,2021-11,328133.9,Current,0,2021-11-11
LOAN_00004437,2023-07,321648.5,Current,0,2023-07-02
LOAN_00001530,2020-05,513814.5,Current,0,2020-05-12
LOAN_00001796,2023-09,445003.31,90+ DPD,98,2023-09-16
LOAN_00003244,2023-02,134201.98,Current,0,2023-02-15
LOAN_00000631,2021-08,397061.65,Current,0,2021-08-18
LOAN_00000769,2021-12,256252.22,Current,0,2021-12-19
LOAN_00003764,2021-04,509438.6,Current,0,2021-04-21
LOAN_00000737,2021-10,325554.89,Current,0,2021-10-05
LOAN_00004866,2023-03,0.0,Prepaid,0,2023-03-05
LOAN_00003531,2021-06,137983.01,Current,0,2021-06-24
LOAN_00003976,2022-07,134080.03,Current,0,2022-07-14
LOAN_00002072,2022-11,197841.06,Current,0,2022-11-03
LOAN_00004599,2022-10,0.0,Prepaid,0,2022-10-09
LOAN_00000117,2021-02,605571.59,Current,0,2021-02-03
LOAN_00001784,2023-06,282407.69,Current,0,2023-06-24
LOAN_00001944,2021-12,197776.41,Current,0,2021-12-21
LOAN_00003287,2021-04,328554.98,Current,0,2021-04-22
LOAN_00004560,2021-07,637733.54,Current,0,2021-07-23
LOAN_00004424,2022-07,330014.91,Current,0,2022-07-15
LOAN_00002403,2023-11,363458.42,Current,0,2023-11-16
LOAN_00000124,2022-11,531194.75,Current,0,2022-11-16
LOAN_00001733,2022-08,365117.41,30-59 DPD,41,2022-08-17
LOAN_00003288,2020-10,246455.41,Current,0,2020-10-21
LOAN_00001213,2023-11,264706.78,Current,0,2023-11-03
LOAN_00000103,2020-04,254895.49,Current,0,2020-04-15
LOAN_00004944,2020-10,0.0,Defaulted,114,2020-10-19
LOAN_00003827,2021-08,0.0,Prepaid,0,2021-08-24
LOAN_00000417,2020-12,181934.16,Current,0,2020-12-08
LOAN_00003784,2024-06,620038.85,60-89 DPD,62,2024-06-11
LOAN_00000955,2022-06,373611.3,Current,0,2022-06-11
LOAN_00001141,2021-08,416843.56,Current,0,2021-08-18
LOAN_00004744,2022-03,259176.08,Current,0,2022-03-26
LOAN_00004642,2023-12,232013.71,Current,0,2023-12-02
LOAN_00001657,2024-07,261137.59,Current,0,2024-07-09
LOAN_00002384,2020-11,697176.13,Current,0,2020-11-15
LOAN_00000403,2024-08,275541.37,Current,0,2024-08-05
LOAN_00003768,2024-08,142837.19,Current,0,2024-08-12
LOAN_00003790,2020-10,445237.2,Current,0,2020-10-17
LOAN_00000919,2022-07,270844.22,Current,0,2022-07-12
LOAN_00004407,2021-06,212144.7,Current,0,2021-06-01
LOAN_00001174,2021-06,117011.31,Current,0,2021-06-12
LOAN_00000756,2023-09,393384.33,Current,0,2023-09-06
LOAN_00003866,2021-09,191052.38,Current,0,2021-09-03
LOAN_00002252,2022-06,158265.17,Current,0,2022-06-19
LOAN_00003140,2022-08,226331.36,Current,0,2022-08-02
LOAN_00004731,2022-12,263212.2,Current,0,2022-12-15
LOAN_00002864,2021-06,140220.43,Current,0,2021-06-01
LOAN_00000380,2020-05,471184.84,Current,0,2020-05-06
LOAN_00000889,2021-11,0.0,Prepaid,0,2021-11-01
LOAN_00004534,2021-02,199998.24,30-59 DPD,30,2021-02-03
LOAN_00003276,2021-02,374697.66,Current,0,2021-02-20
LOAN_00004241,2021-08,519310.03,Current,0,2021-08-05
LOAN_00001023,2024-02,133668.88,Current,0,2024-02-26
LOAN_00003685,2022-04,298522.68,Current,0,2022-04-15
LOAN_00000343,2021-11,297608.26,Current,0,2021-11-10
LOAN_00004996,2022-07,356566.85,Current,0,2022-07-13
LOAN_00001784,2024-04,277731.72,Current,0,2024-04-15
LOAN_00000604,2023-11,899909.16,Current,0,2023-11-04
LOAN_00003504,2021-08,221560.09,Current,0,2021-08-17
LOAN_00002880,2022-01,363724.48,Current,0,2022-01-09
LOAN_00000726,2022-02,315783.31,Current,0,2022-02-18
LOAN_00000893,2024-12,167082.33,Current,0,2024-12-18
LOAN_00001730,2024-06,262610.51,Current,0,2024-06-23
LOAN_00002827,2023-04,324833.26,Current,0,2023-04-28
LOAN_00000027,2023-02,266535.77,Current,0,2023-02-25
LOAN_00003623,2021-10,377300.71,Current,0,2021-10-15
LOAN_00000859,2022-12,375850.83,Current,0,2022-12-27
LOAN_00003648,2024-03,656887.08,Current,0,2024-03-23
LOAN_00001979,2022-10,168290.19,Current,0,2022-10-25
LOAN_00004523,2023-11,148604.52,Current,0,2023-11-23
LOAN_00004991,2022-02,159332.8,Current,0,2022-02-03
LOAN_00002293,2022-11,644111.67,Current,0,2022-11-07
LOAN_00001409,2021-06,474055.55,Current,0,2021-06-17
LOAN_00001728,2023-03,221981.49,Current,0,2023-03-21
LOAN_00000763,2024-08,395905.98,Current,0,2024-08-04
LOAN_00004348,2022-06,828285.68,Current,0,2022-06-27
LOAN_00000093,2021-04,73416.76,Current,0,2021-04-03
LOAN_00003330,2023-12,580784.08,Current,0,2023-12-06
LOAN_00001265,2021-01,118803.38,Current,0,2021-01-18
LOAN_00000433,2020-06,154572.25,Current,0,2020-06-04
LOAN_00004368,2023-05,303480.43,Current,0,2023-05-25
LOAN_00000288,2021-09,294966.97,Current,0,2021-09-20
LOAN_00003327,2020-10,192434.99,Current,0,2020-10-22
LOAN_00001217,2024-06,331359.73,Current,0,2024-06-18
LOAN_00002469,2022-03,747322.91,Current,0,2022-03-24
LOAN_00000261,2022-04,276764.34,Current,0,2022-04-19
LOAN_00000893,2025-02,165377.44,Current,0,2025-02-04
LOAN_00004967,2021-08,298254.65,Current,0,2021-08-24
LOAN_00002272,2022-04,267514.39,Current,0,2022-04-04
LOAN_00002673,2022-03,390144.68,Current,0,2022-03-15
LOAN_00001441,2022-01,300189.73,Current,0,2022-01-09
LOAN_00004830,2021-04,496842.99,Current,0,2021-04-24
LOAN_00003780,2021-07,322947.34,Current,0,2021-07-21
LOAN_00002532,2024-04,250306.45,Current,0,2024-04-21
LOAN_00002296,2022-01,396864.45,Current,0,2022-01-01
LOAN_00002917,2023-05,441678.69,Current,0,2023-05-16
LOAN_00003527,2021-11,579905.03,Current,0,2021-11-09
LOAN_00004815,2021-03,262979.47,Current,0,2021-03-08
LOAN_00000077,2022-12,196489.43,Current,0,2022-12-06
LOAN_00002617,2020-02,260011.45,Current,0,2020-02-21
LOAN_00002150,2021-08,736130.18,30-59 DPD,36,2021-08-06
LOAN_00004014,2021-02,210583.32,Current,0,2021-02-14
LOAN_00003850,2024-01,255273.08,Current,0,2024-01-06
LOAN_00001503,2021-07,267269.71,Current,0,2021-07-16
LOAN_00001874,2021-03,459111.47,Current,0,2021-03-10
LOAN_00001416,2022-09,288198.17,Current,0,2022-09-16
LOAN_00000521,2021-02,152153.79,Current,0,2021-02-18
LOAN_00002429,2021-12,114457.97,Current,0,2021-12-13
LOAN_00001236,2021-05,331457.67,Current,0,2021-05-04
LOAN_00000169,2020-05,241993.17,Current,0,2020-05-17
LOAN_00003900,2023-06,129263.76,Current,0,2023-06-11
LOAN_00003222,2022-06,270617.24,Current,0,2022-06-16
LOAN_00002948,2022-07,143206.09,Current,0,2022-07-25
LOAN_00002469,2021-11,750253.81,Current,0,2021-11-20
LOAN_00004025,2021-02,189547.43,Current,0,2021-02-04
LOAN_00004814,2023-09,305352.44,Current,0,2023-09-24
LOAN_00001532,2024-04,86072.43,Current,0,2024-04-02
LOAN_00001776,2021-01,323954.16,Current,0,2021-01-16
LOAN_00003153,2022-09,280175.07,Current,0,2022-09-05
LOAN_00000262,2022-01,276533.6,Current,0,2022-01-24
LOAN_00000129,2022-04,276079.73,Current,0,2022-04-03
LOAN_00003963,2021-12,343820.9,Current,0,2021-12-02
LOAN_00002937,2022-10,731880.45,Current,0,2022-10-18
LOAN_00000457,2022-12,251622.74,Current,0,2022-12-12
LOAN_00002636,2021-03,493608.77,Current,0,2021-03-25
LOAN_00003154,2020-04,259959.84,Current,0,2020-04-17
LOAN_00001513,2020-12,121164.55,Current,0,2020-12-23
LOAN_00000027,2024-02,263355.72,Current,0,2024-02-28
LOAN_00000901,2020-02,170980.33,Current,0,2020-02-05
LOAN_00003398,2020-09,349993.14,Current,0,2020-09-04
LOAN_00003257,2020-08,245813.64,Current,0,2020-08-14
LOAN_00000040,2020-06,176630.41,Current,0,2020-06-17
LOAN_00000249,2020-04,0.0,Prepaid,0,2020-04-12
LOAN_00001336,2022-07,611930.11,Current,0,2022-07-13
LOAN_00004509,2022-11,257808.69,Current,0,2022-11-16
LOAN_00002451,2022-12,255140.13,Current,0,2022-12-10
LOAN_00003823,2022-02,799686.82,Current,0,2022-02-20
LOAN_00003523,2020-09,365326.01,Current,0,2020-09-17
LOAN_00001154,2022-08,379136.25,Current,61,2022-08-27
LOAN_00001662,2022-03,322994.86,Current,0,2022-03-24
LOAN_00001803,2021-12,280830.66,Current,0,2021-12-16
LOAN_00000509,2020-11,173831.21,Current,0,2020-11-21
LOAN_00002591,2021-06,286966.7,Current,0,2021-06-05
LOAN_00004834,2023-08,240590.01,30-59 DPD,59,2023-08-01
LOAN_00001554,2022-12,223771.19,Current,0,2022-12-01
LOAN_00001619,2023-07,658472.17,Current,0,2023-07-12
LOAN_00001378,2021-12,231812.17,Current,0,2021-12-13
LOAN_00001154,2021-12,384134.86,Current,0,2021-12-15
LOAN_00002869,2020-08,163812.25,Current,0,2020-08-15
LOAN_00001227,2024-11,241779.01,Current,0,2024-11-03
LOAN_00000527,2022-07,261776.37,Current,0,2022-07-17
LOAN_00002641,2021-12,405170.44,Current,0,2021-12-07
LOAN_00004633,2021-12,209833.39,Current,0,2021-12-18
LOAN_00003013,2022-12,200364.19,Current,0,2022-12-23
LOAN_00004622,2022-06,458587.33,Current,0,2022-06-01
LOAN_00002898,2022-05,355151.79,Current,0,2022-05-21
LOAN_00002007,2020-06,145839.43,Current,0,2020-06-07
LOAN_00003254,2021-06,397873.78,30-59 DPD,0,2021-06-17
LOAN_00004808,2021-11,373546.97,Current,0,2021-11-04
LOAN_00003626,2023-09,889932.27,90+ DPD,110,2023-09-16
LOAN_00003488,2023-07,218562.06,Current,0,2023-07-16
LOAN_00003896,2023-05,393852.22,Current,0,2023-05-17
LOAN_00004340,2021-05,330327.55,Current,0,2021-05-12
LOAN_00000348,2021-04,190470.64,Current,0,2021-04-01
LOAN_00000504,2021-07,570775.94,Current,0,2021-07-02
LOAN_00002182,2022-07,737981.06,Current,0,2022-07-18
LOAN_00000293,2021-05,740846.28,Current,0,2021-05-20
LOAN_00004157,2021-02,258309.17,Current,0,2021-02-13
LOAN_00002393,2021-06,205674.13,Current,0,2021-06-01
LOAN_00001443,2022-05,245483.26,Current,0,2022-05-17
LOAN_00000056,2023-09,358523.36,Current,0,2023-09-25
LOAN_00002780,2022-06,300946.93,Current,0,2022-06-22
LOAN_00004866,2022-10,135530.34,Current,0,2022-10-28
LOAN_00002960,2023-12,581316.37,Current,0,2023-12-11
LOAN_00000163,2023-03,85579.57,Current,0,2023-03-13
LOAN_00000117,2022-09,594060.06,Current,0,2022-09-18
LOAN_00002360,2022-06,222252.97,Current,0,2022-06-17
LOAN_00001156,2020-12,225011.44,Current,0,2020-12-17
LOAN_00001204,2022-01,360756.61,Current,0,2022-01-06
LOAN_00000726,2023-07,311181.56,30-59 DPD,57,2023-07-01
LOAN_00004906,2021-01,504470.41,Current,0,2021-01-12
LOAN_00000027,2023-07,265235.58,Current,0,2023-07-04
LOAN_00002229,2023-02,223684.23,Current,0,2023-02-27
LOAN_00000274,2022-12,782419.61,Current,0,2022-12-17
LOAN_00001634,2021-07,524661.86,Current,0,2021-07-28
LOAN_00000077,2021-02,202709.93,Current,0,2021-02-04
LOAN_00003201,2022-09,305982.13,Current,0,2022-09-15
LOAN_00002437,2023-07,415594.63,Current,0,2023-07-23
LOAN_00000221,2021-10,1398379.15,Current,0,2021-10-27
LOAN_00003820,2021-05,659010.89,60-89 DPD,0,2021-06-04
LOAN_00000119,2021-04,179472.33,Current,0,2021-04-23
LOAN_00002638,2020-08,895363.9502607284,Current,0,2020-08-15
LOAN_00004050,2020-12,263537.63,Current,0,2020-12-07
LOAN_00003613,2020-11,298897.32,Current,0,2020-11-03
LOAN_00000686,2021-11,0.0,Prepaid,0,2021-11-20
LOAN_00002957,2022-07,224925.37,Current,0,2022-07-09
LOAN_00004571,2022-07,312372.93,Current,0,2022-07-08
LOAN_00004148,2023-09,133919.81,Current,0,2023-09-19
LOAN_00001280,2023-11,250531.97,Current,0,2023-11-02
LOAN_00000087,2022-09,132200.11,Current,0,2022-09-18
LOAN_00000351,2021-01,273328.25,Current,0,2021-01-17
LOAN_00001560,2021-02,176004.95,Current,0,2021-02-22
LOAN_00003648,2023-02,666593.53,Current,0,2023-02-18
LOAN_00004734,2022-06,319421.1,Current,0,2022-06-20
LOAN_00004099,2021-01,167119.81,Current,0,2021-01-04
LOAN_00004986,2022-12,885856.05,Current,0,2022-12-05
LOAN_00002751,2021-07,191557.4,Current,0,2021-07-20
LOAN_00000718,2020-10,327821.65,Current,0,2020-10-08
LOAN_00001795,2021-06,385951.11,Current,0,2021-06-21
LOAN_00001748,2023-06,482852.35,Current,0,2023-06-12
LOAN_00001765,2023-02,204183.91,Current,0,2023-02-22
LOAN_00003893,2020-10,430220.16,Current,0,2020-10-26
LOAN_00002484,2021-04,158198.24,Current,0,2021-04-24
LOAN_00001459,2023-03,124542.63,Current,0,2023-03-08
LOAN_00002496,2022-08,138573.25,Current,0,2022-08-07
LOAN_00001070,2023-12,341450.76,Current,0,2023-12-23
LOAN_00002148,2022-10,705285.37,Current,0,2022-10-02
LOAN_00001038,2022-11,147960.74,Current,0,2022-11-05
LOAN_00000548,2022-07,0.0,Prepaid,0,2022-07-08
LOAN_00001933,2023-04,563745.64,Current,0,2023-04-03
LOAN_00001940,2021-01,152601.36,30-59 DPD,34,2021-01-13
LOAN_00003011,2023-02,559372.34,Current,0,2023-02-18
LOAN_00003582,2021-06,256691.98,Current,0,2021-06-19
LOAN_00002380,2022-03,331206.24,Current,0,2022-03-01
LOAN_00004623,2020-12,323925.32,Current,0,2020-12-03
LOAN_00003808,2021-08,205788.99,Current,0,2021-08-15
LOAN_00003859,2022-09,138566.45,Current,0,2022-09-02
LOAN_00002292,2022-01,477623.01,Current,0,2022-01-24
LOAN_00003242,2023-07,222261.02,Current,0,2023-07-17
LOAN_00004315,2022-07,201209.56,Current,0,2022-07-26
LOAN_00002445,2023-02,494302.72,Current,0,2023-02-05
LOAN_00004989,2022-08,316001.09,Current,0,2022-08-05
LOAN_00004809,2024-09,250154.78,Current,0,2024-09-21
LOAN_00002064,2022-08,325173.01,Current,0,2022-08-09
LOAN_00000696,2022-10,125779.65,Current,0,2022-10-10
LOAN_00002652,2023-07,258127.69,Current,0,2023-07-09
LOAN_00000532,2022-08,351779.66,Current,0,2022-08-24
LOAN_00004521,2022-10,131625.54,Current,0,2022-10-24
LOAN_00001935,2020-08,544574.13,Current,0,2020-08-02
LOAN_00000602,2024-02,307809.98,30-59 DPD,44,2024-02-24
LOAN_00000662,2022-05,194340.39,Current,0,2022-05-09
LOAN_00000478,2023-08,236004.79,Current,0,2023-08-10
LOAN_00000459,2022-02,274870.4,Current,0,2022-02-14
LOAN_00003980,2021-12,328540.37,30-59 DPD,42,2021-12-22
LOAN_00004046,2022-02,372826.46,Current,0,2022-02-24
LOAN_00002906,2023-01,293006.11,30-59 DPD,0,2023-02-03
LOAN_00000695,2021-02,361181.94,Current,0,2021-02-05
LOAN_00004582,2021-02,303928.78,Current,0,2021-02-12
LOAN_00000581,2023-04,147726.24,Current,0,2023-04-09
LOAN_00000068,2021-02,235120.31,Current,0,2021-02-19
LOAN_00001464,2024-09,310940.67,Current,0,2024-09-09
LOAN_00004681,2021-08,274048.48,Current,0,2021-08-17
LOAN_00003219,2022-04,301682.9,30-59 DPD,48,2022-04-28
LOAN_00003973,2021-06,599912.92,Current,0,2021-06-19
LOAN_00001051,2023-04,217217.44,30-59 DPD,34,2023-04-21
LOAN_00004270,2022-07,406554.14,Current,0,2022-07-15
LOAN_00001222,2025-02,786884.58,60-89 DPD,74,2025-02-08
LOAN_00002329,2021-09,428239.14,Current,0,2021-09-25
LOAN_00002680,2022-03,650545.99,Current,0,2022-03-26
LOAN_00002229,2023-01,223906.61,Current,0,2023-01-14
LOAN_00002413,2023-10,153026.04,Current,0,2023-10-14
LOAN_00003859,2023-03,0.0,Defaulted,134,2023-03-07
LOAN_00000879,2022-10,507480.95,Current,0,2022-10-10
LOAN_00003636,2023-11,257592.84,Current,0,2023-11-16
LOAN_00001150,2021-03,400750.85,Current,0,2021-03-19
LOAN_00003362,2021-09,362444.82,Current,0,2021-09-14
LOAN_00003304,2020-07,341892.31,Current,0,2020-07-14
LOAN_00001075,2022-06,240304.9,Current,0,2022-06-03
LOAN_00000663,2021-04,429229.14,Current,0,2021-04-01
LOAN_00000883,2021-10,173902.57,Current,0,2021-10-19
LOAN_00002446,2022-09,62902.4,30-59 DPD,53,2022-09-16
LOAN_00003377,2021-12,420386.31,Current,0,2021-12-07
LOAN_00000048,2024-03,535018.71,Current,0,2024-03-15
LOAN_00001499,2023-06,697254.71,Current,0,2023-06-10
LOAN_00003225,2022-08,332955.17,Current,0,2022-08-21
LOAN_00002238,2022-03,226516.57,Current,0,2022-03-16
LOAN_00002199,2020-09,235239.19,90+ DPD,132,2020-09-28
LOAN_00001786,2021-10,373490.03560939437,Current,0,2021-10-08
LOAN_00000665,2024-01,169196.03,Current,0,2024-01-22
LOAN_00002318,2024-06,289487.99,Current,0,2024-06-10
LOAN_00000760,2021-05,185321.13,Current,0,2021-05-11
LOAN_00002079,2021-06,183236.81,60-89 DPD,74,2021-06-01
LOAN_00000293,2021-12,733424.29,Current,0,2021-12-11
LOAN_00004861,2024-01,220757.58,30-59 DPD,48,2024-01-04
LOAN_00000317,2022-09,242745.88,Current,0,2022-09-14
LOAN_00002014,2022-02,317228.9,Current,0,2022-02-07
LOAN_00004046,2023-08,0.0,Defaulted,134,2023-08-03
LOAN_00001006,2022-08,275634.29,Current,0,2022-08-22
LOAN_00004849,2023-06,164903.75,Current,0,2023-06-09
LOAN_00003341,2021-11,381846.8,Current,0,2021-11-10
LOAN_00001258,2022-06,175838.57,Current,0,2022-06-21
LOAN_00003783,2023-07,697931.64,Current,0,2023-07-22
LOAN_00003250,2021-05,220172.5,Current,0,2021-05-22
LOAN_00003084,2023-01,422054.44,Current,0,2023-01-05
LOAN_00000904,2022-07,378603.67,Current,0,2022-07-27
LOAN_00003134,2023-02,452525.68,Current,0,2023-02-09
LOAN_00001751,2023-05,449627.7,Current,0,2023-05-03
LOAN_00002875,2023-10,234093.36,Current,0,2023-10-11
LOAN_00000429,2023-09,84192.32,Current,0,2023-09-25
LOAN_00002851,2023-03,225922.3,Current,0,2023-03-08
LOAN_00004609,2021-08,267969.79,Current,0,2021-08-01
LOAN_00002416,2023-03,304244.37,90+ DPD,176,2023-03-15
LOAN_00003796,2023-05,286593.16,90+ DPD,124,2023-05-12
LOAN_00004569,2020-09,561527.84,Current,0,2020-09-24
LOAN_00004029,2021-11,344361.5,Current,0,2021-11-02
LOAN_00004897,2021-09,180623.97,Current,0,2021-09-27
LOAN_00002022,2023-08,187483.9,Current,0,2023-08-24
LOAN_00004248,2023-02,163370.5,Current,0,2023-02-12
LOAN_00004478,2023-08,228834.78,Current,0,2023-08-27
LOAN_00000828,2023-07,477114.96,Current,0,2023-07-10
LOAN_00001139,2021-10,256864.95,Current,0,2021-10-23
LOAN_00003971,2023-11,488640.57,30-59 DPD,38,2023-11-10
LOAN_00002024,2020-10,343147.58,Current,0,2020-10-14
LOAN_00001905,2020-12,240160.27,Current,0,2020-12-07
LOAN_00001368,2023-01,291817.91,Current,0,2023-01-22
LOAN_00003432,2020-12,150673.13,Current,0,2020-12-22
LOAN_00001560,2021-08,174637.06,Current,0,2021-08-11
LOAN_00004256,2022-05,363354.02,Current,0,2022-05-17
LOAN_00003175,2022-05,0.0,Defaulted,111,2022-05-06
LOAN_00003193,2021-10,546963.66,Current,0,2021-10-10
LOAN_00003648,2024-06,654562.17,30-59 DPD,36,2024-06-10
LOAN_00000720,2022-07,129130.63,Current,0,2022-07-27
LOAN_00003422,2023-08,138656.93,Current,0,2023-08-21
LOAN_00004524,2022-12,248406.97,Current,0,2022-12-26
LOAN_00000573,2020-09,0.0,Prepaid,0,2020-09-24
LOAN_00000044,2020-11,410388.88,Current,0,2020-11-14
LOAN_00002304,2023-12,339399.92,Current,0,2023-12-20
LOAN_00004238,2024-04,0.0,Prepaid,0,2024-04-12
LOAN_00002263,2021-07,246425.94,30-59 DPD,0,2021-07-22
LOAN_00002953,2023-01,209173.42,Current,0,2023-01-08
LOAN_00002026,2022-10,317114.13,Current,0,2022-10-05
LOAN_00004175,2022-05,430967.72,Current,0,2022-05-16
LOAN_00001478,2021-02,351388.42,Current,0,2021-02-17
LOAN_00002561,2021-02,175193.14,Current,0,2021-02-24
LOAN_00001735,2022-05,154734.92,Current,0,2022-05-12
LOAN_00000595,2022-09,391389.68,Current,0,2022-09-22
LOAN_00001632,2021-02,242578.52,Current,0,2021-02-17
LOAN_00002818,2022-02,161985.73,Current,0,2022-02-10
LOAN_00003981,2021-08,256896.43,Current,0,2021-08-18
LOAN_00003508,2021-01,418251.3,Current,0,2021-01-21
LOAN_00003453,2022-02,389325.9,Current,0,2022-02-02
LOAN_00002137,2022-04,812905.45,Current,0,2022-04-16
LOAN_00003334,2020-11,126627.01,Current,0,2020-11-15
LOAN_00001244,2024-07,210235.63,Current,144,2024-07-23
LOAN_00004232,2022-08,422085.12,Current,0,2022-08-17
LOAN_00000111,2023-12,368527.19,Current,0,2023-12-06
LOAN_00000517,2020-08,333477.82,Current,0,2020-08-20
LOAN_00000262,2021-11,278825.54,Current,0,2021-11-19
LOAN_00002813,2024-11,534832.37,Current,0,2024-11-05
LOAN_00001019,2020-10,558645.67,Current,0,2020-10-01
LOAN_00000161,2022-04,176607.1,Current,0,2022-04-12
LOAN_00003737,2021-12,320999.85,Current,0,2021-12-06
LOAN_00002214,2021-03,148663.9,Current,0,2021-03-28
LOAN_00004248,2022-10,164058.81,Current,0,2022-10-22
LOAN_00003343,2022-04,378933.94,Current,0,2022-04-23
LOAN_00003500,2020-05,174368.28,Current,0,2020-05-04
LOAN_00003285,2023-01,501570.45,Current,0,2023-01-02
LOAN_00002536,2023-01,246862.68,Current,0,2023-01-23
LOAN_00002031,2020-12,200301.99,Current,0,2020-12-22
LOAN_00000706,2021-06,133444.52,Current,0,2021-06-12
LOAN_00000243,2023-03,229671.99,Current,0,2023-03-07
LOAN_00004196,2022-01,566227.05,Current,0,2022-01-13
LOAN_00004986,2023-06,881252.22,90+ DPD,124,2023-06-22
